Tr C(WL),Tr C(LEVEL)[LINEAR]
1352.8,3.30E-04
1353,3.30E-04
1353.2,3.33E-04
1353.4,3.31E-04
1353.6,3.29E-04
1353.8,3.29E-04
1354,3.28E-04
1354.2,3.18E-04
1354.4,3.12E-04
1354.6,3.06E-04
1354.8,3.04E-04
1355,3.06E-04
1355.2,3.02E-04
1355.4,2.97E-04
1355.6,3.02E-04
1355.8,3.06E-04
1356,3.08E-04
1356.2,3.08E-04
1356.4,3.12E-04
1356.6,3.14E-04
1356.8,3.10E-04
1357,3.08E-04
1357.2,3.02E-04
1357.4,2.97E-04
1357.6,2.97E-04
1357.8,3.04E-04
1358,3.01E-04
1358.2,3.01E-04
1358.4,3.03E-04
1358.6,3.06E-04
1358.8,3.05E-04
1359,2.96E-04
1359.2,2.93E-04
1359.4,2.93E-04
1359.6,2.95E-04
1359.8,2.91E-04
1360,2.91E-04
1360.2,2.98E-04
1360.4,2.95E-04
1360.6,2.87E-04
1360.8,2.84E-04
1361,2.83E-04
1361.2,2.69E-04
1361.4,2.68E-04
1361.6,2.71E-04
1361.8,2.64E-04
1362,2.50E-04
1362.2,2.50E-04
1362.4,2.62E-04
1362.6,2.67E-04
1362.8,2.74E-04
1363,2.88E-04
1363.2,3.03E-04
1363.4,3.05E-04
1363.6,3.04E-04
1363.8,2.98E-04
1364,2.92E-04
1364.2,2.72E-04
1364.4,2.66E-04
1364.6,2.65E-04
1364.8,2.63E-04
1365,2.58E-04
1365.2,2.61E-04
1365.4,2.82E-04
1365.6,2.89E-04
1365.8,2.89E-04
1366,2.94E-04
1366.2,3.03E-04
1366.4,2.99E-04
1366.6,2.95E-04
1366.8,2.93E-04
1367,2.87E-04
1367.2,2.79E-04
1367.4,2.68E-04
1367.6,2.73E-04
1367.8,2.73E-04
1368,2.64E-04
1368.2,2.60E-04
1368.4,2.67E-04
1368.6,2.77E-04
1368.8,2.78E-04
1369,2.79E-04
1369.2,2.89E-04
1369.4,2.91E-04
1369.6,2.85E-04
1369.8,2.83E-04
1370,2.82E-04
1370.2,2.80E-04
1370.4,2.66E-04
1370.6,2.66E-04
1370.8,2.68E-04
1371,2.68E-04
1371.2,2.67E-04
1371.4,2.68E-04
1371.6,2.74E-04
1371.8,2.77E-04
1372,2.79E-04
1372.2,2.79E-04
1372.4,2.79E-04
1372.6,2.78E-04
1372.8,2.82E-04
1373,2.83E-04
1373.2,2.81E-04
1373.4,2.80E-04
1373.6,2.80E-04
1373.8,2.79E-04
1374,2.78E-04
1374.2,2.80E-04
1374.4,2.77E-04
1374.6,2.74E-04
1374.8,2.74E-04
1375,2.74E-04
1375.2,2.76E-04
1375.4,2.72E-04
1375.6,2.74E-04
1375.8,2.75E-04
1376,2.72E-04
1376.2,2.69E-04
1376.4,2.62E-04
1376.6,2.58E-04
1376.8,2.56E-04
1377,2.54E-04
1377.2,2.54E-04
1377.4,2.54E-04
1377.6,2.60E-04
1377.8,2.65E-04
1378,2.63E-04
1378.2,2.57E-04
1378.4,2.50E-04
1378.6,2.48E-04
1378.8,2.46E-04
1379,2.44E-04
1379.2,2.46E-04
1379.4,2.50E-04
1379.6,2.50E-04
1379.8,2.47E-04
1380,2.38E-04
1380.2,2.18E-04
1380.4,2.10E-04
1380.6,2.03E-04
1380.8,2.03E-04
1381,2.04E-04
1381.2,2.11E-04
1381.4,2.28E-04
1381.6,2.33E-04
1381.8,2.36E-04
1382,2.26E-04
1382.2,2.08E-04
1382.4,1.95E-04
1382.6,1.90E-04
1382.8,1.88E-04
1383,1.85E-04
1383.2,1.92E-04
1383.4,1.99E-04
1383.6,2.07E-04
1383.8,2.10E-04
1384,2.08E-04
1384.2,2.10E-04
1384.4,2.07E-04
1384.6,2.07E-04
1384.8,2.04E-04
1385,2.02E-04
1385.2,2.00E-04
1385.4,1.96E-04
1385.6,1.97E-04
1385.8,2.01E-04
1386,2.00E-04
1386.2,1.99E-04
1386.4,1.98E-04
1386.6,1.99E-04
1386.8,1.98E-04
1387,1.99E-04
1387.2,1.99E-04
1387.4,1.91E-04
1387.6,1.86E-04
1387.8,1.80E-04
1388,1.77E-04
1388.2,1.76E-04
1388.4,1.76E-04
1388.6,1.82E-04
1388.8,1.84E-04
1389,1.88E-04
1389.2,1.89E-04
1389.4,1.84E-04
1389.6,1.82E-04
1389.8,1.81E-04
1390,1.79E-04
1390.2,1.78E-04
1390.4,1.76E-04
1390.6,1.79E-04
1390.8,1.79E-04
